"order_date","product_name","category","quantity","price","total_amount"
"2025-11-19 20:51:22","Americano","Pastries",4,"80.96","323.84"
"2025-11-19 16:14:22","Americano","Pastries",2,"80.96","161.92"
"2025-11-19 09:27:08","Iced Mocha","Pastries",3,"144.00","432.00"
"2025-11-19 07:52:05","Almond Croissant","Pastries",4,"8.42","33.68"
"2025-11-19 07:04:07","Red Velvet Cake","Pastries",1,"187.25","187.25"
"2025-11-19 05:46:36","Apple Turnover","Pastries",2,"154.54","309.08"
"2025-11-19 05:41:34","Almond Croissant","Pastries",5,"8.42","42.10"
"2025-11-19 04:34:22","Glazed Donut","Pastries",3,"148.75","446.25"
"2025-11-19 03:48:07","Flat White","Pastries",2,"113.21","226.42"
"2025-11-19 02:18:30","Red Velvet Cake","Pastries",1,"187.25","187.25"
"2025-11-18 23:08:24","Hot Chocolate","Pastries",2,"131.53","263.06"
"2025-11-18 20:11:24","Blueberry Muffin","Pastries",5,"185.15","925.75"
"2025-11-18 15:10:58","Hot Chocolate","Pastries",2,"131.53","263.06"
"2025-11-18 12:16:07","Glazed Donut","Pastries",2,"148.75","297.50"
"2025-11-18 11:35:55","Glazed Donut","Pastries",1,"148.75","148.75"
"2025-11-18 09:10:42","Hot Chocolate","Pastries",3,"131.53","394.59"
"2025-11-18 07:54:37","Cappuccino","Pastries",3,"76.25","228.75"
"2025-11-18 06:01:31","Apple Turnover","Pastries",3,"154.54","463.62"
"2025-11-18 03:31:28","Glazed Donut","Pastries",1,"148.75","148.75"
"2025-11-18 02:30:49","Tea","Beverages",4,"106.18","424.72"
"2025-11-18 00:17:04","Apple Turnover","Pastries",4,"154.54","618.16"
"2025-11-17 22:56:59","Iced Coffee","Beverages",5,"107.80","539.00"
"2025-11-17 22:43:35","Iced Mocha","Pastries",5,"144.00","720.00"
"2025-11-17 16:09:48","Almond Croissant","Pastries",4,"8.42","33.68"
"2025-11-17 14:43:08","Hot Chocolate","Pastries",4,"131.53","526.12"
"2025-11-17 07:36:59","Mocha","Pastries",4,"61.74","246.96"
"2025-11-17 06:45:25","Hot Chocolate","Pastries",5,"131.53","657.65"
"2025-11-17 06:41:37","Macchiato","Pastries",5,"93.97","469.85"
"2025-11-17 05:31:44","Flat White","Pastries",1,"113.21","113.21"
"2025-11-17 04:08:54","Red Velvet Cake","Pastries",3,"187.25","561.75"
"2025-11-16 19:57:52","Glazed Donut","Pastries",3,"148.75","446.25"
"2025-11-16 19:31:42","Cappuccino","Pastries",2,"76.25","152.50"
"2025-11-16 19:21:07","Red Velvet Cake","Pastries",3,"187.25","561.75"
"2025-11-16 18:03:55","Chocolate Chip Muffin","Pastries",2,"103.79","207.58"
"2025-11-16 15:26:16","Flat White","Pastries",3,"113.21","339.63"
"2025-11-16 14:03:51","Tiramisu","Pastries",2,"196.55","393.10"
"2025-11-16 13:43:26","Cappuccino","Pastries",2,"76.25","152.50"
"2025-11-16 05:47:35","Macchiato","Pastries",5,"93.97","469.85"
"2025-11-16 03:25:21","Chai Latte","Pastries",2,"100.50","201.00"
"2025-11-16 01:23:21","Iced Mocha","Pastries",2,"144.00","288.00"
"2025-11-16 00:03:31","Cappuccino","Pastries",5,"76.25","381.25"
"2025-11-15 23:54:21","Chai Latte","Pastries",5,"100.50","502.50"
"2025-11-15 21:38:32","Latte","Pastries",3,"108.74","326.22"
"2025-11-15 18:26:27","Iced Mocha","Pastries",2,"144.00","288.00"
"2025-11-15 16:24:35","Chocolate Chip Muffin","Pastries",3,"103.79","311.37"
"2025-11-15 14:56:00","Blueberry Muffin","Pastries",2,"185.15","370.30"
"2025-11-15 11:39:19","Cappuccino","Pastries",2,"76.25","152.50"
"2025-11-15 09:59:41","Red Velvet Cake","Pastries",5,"187.25","936.25"
"2025-11-15 04:40:03","Mocha","Pastries",1,"61.74","61.74"
"2025-11-15 04:34:27","Almonds","Pastries",5,"5.59","27.95"
"2025-11-15 00:49:19","Baguette","Pastries",4,"133.77","535.08"
"2025-11-15 00:07:31","Espresso","Pastries",2,"195.76","391.52"
"2025-11-14 23:17:22","Almonds","Pastries",1,"5.59","5.59"
"2025-11-14 23:04:56","Almonds","Pastries",1,"5.59","5.59"
"2025-11-14 20:39:01","Tiramisu","Pastries",5,"196.55","982.75"
"2025-11-14 16:24:47","Almonds","Pastries",5,"5.59","27.95"
"2025-11-14 13:07:48","Almond Croissant","Pastries",1,"8.42","8.42"
"2025-11-14 09:53:43","Tea","Beverages",2,"106.18","212.36"
"2025-11-14 09:39:04","Macchiato","Pastries",4,"93.97","375.88"
"2025-11-14 07:43:49","Flat White","Pastries",1,"113.21","113.21"
"2025-11-14 04:37:57","Chai Latte","Pastries",1,"100.50","100.50"
"2025-11-14 03:28:24","Mocha","Pastries",5,"61.74","308.70"
"2025-11-13 21:40:53","Chocolate Chip Muffin","Pastries",2,"103.79","207.58"
"2025-11-13 21:18:43","Macchiato","Pastries",5,"93.97","469.85"
"2025-11-13 19:19:29","Mocha","Pastries",5,"61.74","308.70"
"2025-11-13 18:06:53","Almonds","Pastries",5,"5.59","27.95"
"2025-11-13 16:21:24","Glazed Donut","Pastries",3,"148.75","446.25"
"2025-11-13 12:27:19","Almond Croissant","Pastries",1,"8.42","8.42"
"2025-11-13 07:50:08","Hot Chocolate","Pastries",1,"131.53","131.53"
"2025-11-13 06:06:59","Latte","Pastries",5,"108.74","543.70"
"2025-11-13 05:19:35","Blueberry Muffin","Pastries",1,"185.15","185.15"
"2025-11-13 04:32:13","Hot Chocolate","Pastries",4,"131.53","526.12"
"2025-11-13 03:07:19","Iced Coffee","Beverages",3,"107.80","323.40"
"2025-11-13 00:53:05","Tiramisu","Pastries",5,"196.55","982.75"
"2025-11-13 00:46:59","Macchiato","Pastries",5,"93.97","469.85"
"2025-11-12 16:02:54","Eclair","Pastries",4,"146.12","584.48"
"2025-11-12 15:58:10","Apple Turnover","Pastries",1,"154.54","154.54"
"2025-11-12 09:50:21","Iced Mocha","Pastries",1,"144.00","144.00"
"2025-11-12 06:54:10","Flat White","Pastries",3,"113.21","339.63"
"2025-11-12 03:19:06","Chai Latte","Pastries",2,"100.50","201.00"
"2025-11-12 00:03:44","Chocolate Chip Muffin","Pastries",3,"103.79","311.37"
"2025-11-11 22:11:13","Baguette","Pastries",3,"133.77","401.31"
"2025-11-11 19:42:24","Hot Chocolate","Pastries",3,"131.53","394.59"
"2025-11-11 08:11:55","Chai Latte","Pastries",3,"100.50","301.50"
"2025-11-11 07:53:12","Tea","Beverages",4,"106.18","424.72"
"2025-11-11 06:50:12","Almond Croissant","Pastries",3,"8.42","25.26"
"2025-11-10 23:24:33","Apple Turnover","Pastries",5,"154.54","772.70"
"2025-11-10 17:22:44","Latte","Pastries",5,"108.74","543.70"
"2025-11-10 13:36:10","Iced Mocha","Pastries",3,"144.00","432.00"
"2025-11-10 12:52:07","Apple Turnover","Pastries",1,"154.54","154.54"
"2025-11-10 11:13:45","Americano","Pastries",2,"80.96","161.92"
"2025-11-10 11:08:35","Iced Mocha","Pastries",3,"144.00","432.00"
"2025-11-10 05:29:25","Tea","Beverages",4,"106.18","424.72"
"2025-11-10 04:48:13","Tea","Beverages",1,"106.18","106.18"
"2025-11-10 02:24:45","Macchiato","Pastries",3,"93.97","281.91"
"2025-11-09 23:06:11","Flat White","Pastries",4,"113.21","452.84"
"2025-11-09 22:19:12","Almonds","Pastries",5,"5.59","27.95"
"2025-11-09 22:08:13","Tea","Beverages",2,"106.18","212.36"
"2025-11-09 20:19:46","Latte","Pastries",4,"108.74","434.96"
"2025-11-09 19:21:16","Hot Chocolate","Pastries",2,"131.53","263.06"
"2025-11-09 14:16:27","Latte","Pastries",5,"108.74","543.70"
"2025-11-09 12:19:13","Baguette","Pastries",4,"133.77","535.08"
"2025-11-09 11:30:59","Chai Latte","Pastries",2,"100.50","201.00"
"2025-11-09 06:20:09","Americano","Pastries",2,"80.96","161.92"
"2025-11-09 04:21:17","Almond Croissant","Pastries",2,"8.42","16.84"
"2025-11-09 04:04:01","Chai Latte","Pastries",5,"100.50","502.50"
"2025-11-08 21:02:57","Baguette","Pastries",4,"133.77","535.08"
"2025-11-08 12:41:12","Hot Chocolate","Pastries",5,"131.53","657.65"
"2025-11-08 12:05:12","Flat White","Pastries",2,"113.21","226.42"
"2025-11-08 12:05:04","Blueberry Muffin","Pastries",1,"185.15","185.15"
"2025-11-08 11:50:35","Flat White","Pastries",1,"113.21","113.21"
"2025-11-08 11:16:35","Blueberry Muffin","Pastries",3,"185.15","555.45"
"2025-11-08 09:28:40","Mocha","Pastries",1,"61.74","61.74"
"2025-11-08 09:17:40","Apple Turnover","Pastries",2,"154.54","309.08"
"2025-11-08 06:25:41","Macchiato","Pastries",1,"93.97","93.97"
"2025-11-08 06:00:58","Chai Latte","Pastries",5,"100.50","502.50"
"2025-11-08 04:53:06","Latte","Pastries",2,"108.74","217.48"
"2025-11-08 02:00:27","Chai Latte","Pastries",1,"100.50","100.50"
"2025-11-08 01:19:17","Tiramisu","Pastries",5,"196.55","982.75"
"2025-11-08 00:22:05","Flat White","Pastries",2,"113.21","226.42"
"2025-11-08 00:14:44","Eclair","Pastries",5,"146.12","730.60"
"2025-11-07 22:51:54","Flat White","Pastries",1,"113.21","113.21"
"2025-11-07 18:39:42","Cappuccino","Pastries",4,"76.25","305.00"
"2025-11-07 18:19:16","Macchiato","Pastries",3,"93.97","281.91"
"2025-11-07 17:38:41","Red Velvet Cake","Pastries",3,"187.25","561.75"
"2025-11-07 16:32:31","Cappuccino","Pastries",2,"76.25","152.50"
"2025-11-07 16:10:07","Flat White","Pastries",4,"113.21","452.84"
"2025-11-07 13:42:04","Espresso","Pastries",4,"195.76","783.04"
"2025-11-07 12:08:14","Tiramisu","Pastries",5,"196.55","982.75"
"2025-11-07 10:53:57","Almond Croissant","Pastries",2,"8.42","16.84"
"2025-11-07 07:37:58","Cappuccino","Pastries",1,"76.25","76.25"
"2025-11-07 05:11:47","Iced Mocha","Pastries",2,"144.00","288.00"
"2025-11-06 23:10:56","Tea","Beverages",5,"106.18","530.90"
"2025-11-06 21:51:43","Hot Chocolate","Pastries",4,"131.53","526.12"
"2025-11-06 21:10:10","Espresso","Pastries",4,"195.76","783.04"
"2025-11-06 19:42:56","Almonds","Pastries",4,"5.59","22.36"
"2025-11-06 19:23:14","Apple Turnover","Pastries",4,"154.54","618.16"
"2025-11-06 15:02:59","Iced Mocha","Pastries",4,"144.00","576.00"
"2025-11-06 13:21:02","Macchiato","Pastries",4,"93.97","375.88"
"2025-11-06 10:13:02","Red Velvet Cake","Pastries",2,"187.25","374.50"
"2025-11-06 04:52:38","Espresso","Pastries",2,"195.76","391.52"
"2025-11-06 04:15:55","Almond Croissant","Pastries",4,"8.42","33.68"
"2025-11-06 02:45:52","Flat White","Pastries",1,"113.21","113.21"
"2025-11-06 02:32:08","Glazed Donut","Pastries",5,"148.75","743.75"
"2025-11-05 18:11:03","Flat White","Pastries",2,"113.21","226.42"
"2025-11-05 17:27:36","Chai Latte","Pastries",4,"100.50","402.00"
"2025-11-05 17:06:26","Americano","Pastries",5,"80.96","404.80"
"2025-11-05 15:01:09","Espresso","Pastries",5,"195.76","978.80"
"2025-11-05 10:57:13","Apple Turnover","Pastries",5,"154.54","772.70"
"2025-11-05 10:17:07","Hot Chocolate","Pastries",5,"131.53","657.65"
"2025-11-05 07:39:32","Espresso","Pastries",2,"195.76","391.52"
"2025-11-05 06:46:05","Americano","Pastries",4,"80.96","323.84"
"2025-11-05 00:59:07","Americano","Pastries",2,"80.96","161.92"
"2025-11-04 14:04:44","Macchiato","Pastries",2,"93.97","187.94"
"2025-11-04 12:28:58","Espresso","Pastries",1,"195.76","195.76"
"2025-11-04 12:15:41","Cappuccino","Pastries",4,"76.25","305.00"
"2025-11-04 11:09:23","Almond Croissant","Pastries",3,"8.42","25.26"
"2025-11-04 10:08:04","Iced Mocha","Pastries",1,"144.00","144.00"
"2025-11-04 09:15:05","Chocolate Chip Muffin","Pastries",3,"103.79","311.37"
"2025-11-03 21:18:28","Flat White","Pastries",2,"113.21","226.42"
"2025-11-03 19:49:10","Iced Mocha","Pastries",4,"144.00","576.00"
"2025-11-03 19:07:12","Espresso","Pastries",1,"195.76","195.76"
"2025-11-03 18:19:21","Chai Latte","Pastries",4,"100.50","402.00"
"2025-11-03 17:29:39","Iced Coffee","Beverages",5,"107.80","539.00"
"2025-11-03 16:27:40","Cappuccino","Pastries",1,"76.25","76.25"
"2025-11-03 09:56:53","Espresso","Pastries",4,"195.76","783.04"
"2025-11-03 01:44:13","Hot Chocolate","Pastries",2,"131.53","263.06"
"2025-11-03 01:35:30","Flat White","Pastries",2,"113.21","226.42"
"2025-11-02 21:24:28","Eclair","Pastries",1,"146.12","146.12"
"2025-11-02 11:08:23","Cappuccino","Pastries",2,"76.25","152.50"
"2025-11-02 10:22:37","Tiramisu","Pastries",2,"196.55","393.10"
"2025-11-02 09:37:53","Macchiato","Pastries",5,"93.97","469.85"
"2025-11-02 09:07:43","Baguette","Pastries",5,"133.77","668.85"
"2025-11-02 08:53:31","Mocha","Pastries",3,"61.74","185.22"
"2025-11-02 03:53:36","Americano","Pastries",4,"80.96","323.84"
"2025-11-02 02:53:53","Almonds","Pastries",2,"5.59","11.18"
"2025-11-02 02:38:14","Tea","Beverages",3,"106.18","318.54"
"2025-11-01 17:50:58","Chocolate Chip Muffin","Pastries",2,"103.79","207.58"
"2025-11-01 16:54:11","Glazed Donut","Pastries",3,"148.75","446.25"
"2025-11-01 16:00:29","Flat White","Pastries",2,"113.21","226.42"
"2025-11-01 15:56:55","Almond Croissant","Pastries",3,"8.42","25.26"
"2025-11-01 15:53:22","Baguette","Pastries",5,"133.77","668.85"
"2025-11-01 09:52:25","Tiramisu","Pastries",5,"196.55","982.75"
"2025-11-01 09:10:24","Red Velvet Cake","Pastries",5,"187.25","936.25"
"2025-11-01 04:01:46","Tea","Beverages",2,"106.18","212.36"
"2025-11-01 03:35:49","Chai Latte","Pastries",5,"100.50","502.50"
"2025-11-01 03:16:23","Blueberry Muffin","Pastries",4,"185.15","740.60"
"2025-11-01 01:54:56","Iced Coffee","Beverages",1,"107.80","107.80"
"2025-11-01 01:15:35","Macchiato","Pastries",1,"93.97","93.97"
"2025-11-01 00:39:22","Tea","Beverages",5,"106.18","530.90"
"2025-10-31 15:54:27","Tiramisu","Pastries",1,"196.55","196.55"
"2025-10-31 15:07:11","Hot Chocolate","Pastries",2,"131.53","263.06"
"2025-10-31 12:22:57","Iced Coffee","Beverages",3,"107.80","323.40"
"2025-10-31 11:43:52","Blueberry Muffin","Pastries",5,"185.15","925.75"
"2025-10-31 09:23:20","Blueberry Muffin","Pastries",3,"185.15","555.45"
"2025-10-31 06:24:54","Iced Mocha","Pastries",5,"144.00","720.00"
"2025-10-31 01:54:51","Macchiato","Pastries",4,"93.97","375.88"
"2025-10-31 00:57:53","Chai Latte","Pastries",4,"100.50","402.00"
"2025-10-30 16:22:40","Macchiato","Pastries",2,"93.97","187.94"
"2025-10-30 14:43:48","Chocolate Chip Muffin","Pastries",1,"103.79","103.79"
"2025-10-30 09:40:33","Flat White","Pastries",2,"113.21","226.42"
"2025-10-30 08:51:06","Hot Chocolate","Pastries",2,"131.53","263.06"
"2025-10-30 07:50:43","Almonds","Pastries",1,"5.59","5.59"
"2025-10-30 05:14:58","Americano","Pastries",4,"80.96","323.84"
"2025-10-29 22:47:35","Espresso","Pastries",1,"195.76","195.76"
"2025-10-29 17:57:34","Hot Chocolate","Pastries",1,"131.53","131.53"
"2025-10-29 11:03:41","Iced Mocha","Pastries",2,"144.00","288.00"
"2025-10-29 06:28:21","Tea","Beverages",1,"106.18","106.18"
"2025-10-29 02:25:04","Blueberry Muffin","Pastries",1,"185.15","185.15"
"2025-10-28 20:11:29","Tiramisu","Pastries",5,"196.55","982.75"
"2025-10-28 16:01:17","Iced Coffee","Beverages",1,"107.80","107.80"
"2025-10-28 14:35:54","Iced Coffee","Beverages",5,"107.80","539.00"
"2025-10-28 08:35:11","Almond Croissant","Pastries",5,"8.42","42.10"
"2025-10-28 07:38:48","Baguette","Pastries",2,"133.77","267.54"
"2025-10-28 05:20:06","Espresso","Pastries",4,"195.76","783.04"
"2025-10-28 01:35:46","Hot Chocolate","Pastries",3,"131.53","394.59"
"2025-10-28 00:14:42","Almonds","Pastries",4,"5.59","22.36"
"2025-10-27 23:48:50","Mocha","Pastries",4,"61.74","246.96"
"2025-10-27 21:22:51","Cappuccino","Pastries",5,"76.25","381.25"
"2025-10-27 19:48:50","Espresso","Pastries",4,"195.76","783.04"
"2025-10-27 18:13:17","Blueberry Muffin","Pastries",3,"185.15","555.45"
"2025-10-27 15:05:12","Chai Latte","Pastries",3,"100.50","301.50"
"2025-10-27 09:58:11","Latte","Pastries",3,"108.74","326.22"
"2025-10-27 05:57:08","Hot Chocolate","Pastries",4,"131.53","526.12"
"2025-10-27 01:10:55","Mocha","Pastries",1,"61.74","61.74"
"2025-10-26 21:17:31","Iced Mocha","Pastries",2,"144.00","288.00"
"2025-10-26 20:29:33","Baguette","Pastries",2,"133.77","267.54"
"2025-10-26 19:14:07","Hot Chocolate","Pastries",1,"131.53","131.53"
"2025-10-26 16:46:35","Iced Coffee","Beverages",3,"107.80","323.40"
"2025-10-26 15:49:22","Glazed Donut","Pastries",1,"148.75","148.75"
"2025-10-26 15:34:35","Chocolate Chip Muffin","Pastries",2,"103.79","207.58"
"2025-10-26 13:35:37","Tiramisu","Pastries",3,"196.55","589.65"
"2025-10-26 11:53:10","Iced Coffee","Beverages",2,"107.80","215.60"
"2025-10-26 10:35:01","Glazed Donut","Pastries",5,"148.75","743.75"
"2025-10-26 09:38:21","Espresso","Pastries",2,"195.76","391.52"
"2025-10-26 07:53:19","Red Velvet Cake","Pastries",5,"187.25","936.25"
"2025-10-26 06:47:34","Flat White","Pastries",1,"113.21","113.21"
"2025-10-25 23:26:55","Baguette","Pastries",3,"133.77","401.31"
"2025-10-25 20:39:09","Mocha","Pastries",4,"61.74","246.96"
"2025-10-25 13:59:22","Red Velvet Cake","Pastries",1,"187.25","187.25"
"2025-10-25 12:01:01","Glazed Donut","Pastries",4,"148.75","595.00"
"2025-10-25 11:08:07","Hot Chocolate","Pastries",5,"131.53","657.65"
"2025-10-25 09:00:18","Americano","Pastries",5,"80.96","404.80"
"2025-10-25 06:07:57","Tiramisu","Pastries",1,"196.55","196.55"
"2025-10-25 00:32:22","Flat White","Pastries",5,"113.21","566.05"
"2025-10-24 18:12:09","Flat White","Pastries",4,"113.21","452.84"
"2025-10-24 15:23:16","Latte","Pastries",1,"108.74","108.74"
"2025-10-24 09:49:03","Almonds","Pastries",1,"5.59","5.59"
"2025-10-24 09:34:53","Almonds","Pastries",4,"5.59","22.36"
"2025-10-24 07:10:54","Iced Coffee","Beverages",1,"107.80","107.80"
"2025-10-24 03:43:32","Iced Mocha","Pastries",4,"144.00","576.00"
"2025-10-24 03:33:09","Iced Mocha","Pastries",5,"144.00","720.00"
"2025-10-24 03:24:56","Eclair","Pastries",4,"146.12","584.48"
"2025-10-23 23:50:35","Red Velvet Cake","Pastries",2,"187.25","374.50"
"2025-10-23 23:04:58","Almond Croissant","Pastries",4,"8.42","33.68"
"2025-10-23 22:46:26","Mocha","Pastries",3,"61.74","185.22"
"2025-10-23 21:42:15","Macchiato","Pastries",3,"93.97","281.91"
"2025-10-23 20:50:27","Tea","Beverages",4,"106.18","424.72"
"2025-10-23 20:28:23","Mocha","Pastries",5,"61.74","308.70"
"2025-10-23 19:13:37","Iced Coffee","Beverages",1,"107.80","107.80"
"2025-10-23 08:42:10","Chocolate Chip Muffin","Pastries",1,"103.79","103.79"
"2025-10-23 02:50:00","Glazed Donut","Pastries",1,"148.75","148.75"
"2025-10-22 23:55:48","Mocha","Pastries",2,"61.74","123.48"
"2025-10-22 22:33:30","Cappuccino","Pastries",1,"76.25","76.25"
"2025-10-22 20:27:06","Almond Croissant","Pastries",1,"8.42","8.42"
"2025-10-22 18:59:40","Iced Mocha","Pastries",5,"144.00","720.00"
"2025-10-22 15:22:20","Macchiato","Pastries",3,"93.97","281.91"
"2025-10-22 15:16:44","Iced Coffee","Beverages",3,"107.80","323.40"
"2025-10-22 13:41:17","Chocolate Chip Muffin","Pastries",5,"103.79","518.95"
"2025-10-22 12:31:53","Almond Croissant","Pastries",4,"8.42","33.68"
"2025-10-22 10:38:37","Tiramisu","Pastries",2,"196.55","393.10"
"2025-10-22 07:58:43","Iced Coffee","Beverages",5,"107.80","539.00"
"2025-10-22 06:53:52","Mocha","Pastries",5,"61.74","308.70"
"2025-10-22 02:50:41","Americano","Pastries",4,"80.96","323.84"
"2025-10-22 00:35:12","Americano","Pastries",1,"80.96","80.96"
"2025-10-21 20:55:36","Tea","Beverages",3,"106.18","318.54"
"2025-10-21 17:56:34","Iced Mocha","Pastries",1,"144.00","144.00"
"2025-10-21 16:41:12","Almond Croissant","Pastries",5,"8.42","42.10"
"2025-10-21 16:30:35","Tea","Beverages",1,"106.18","106.18"
"2025-10-21 13:34:31","Almond Croissant","Pastries",2,"8.42","16.84"
"2025-10-21 11:52:12","Blueberry Muffin","Pastries",4,"185.15","740.60"
"2025-10-21 10:14:19","Cappuccino","Pastries",5,"76.25","381.25"
"2025-10-21 08:08:28","Chai Latte","Pastries",1,"100.50","100.50"
"2025-10-21 05:15:47","Blueberry Muffin","Pastries",1,"185.15","185.15"
"2025-10-21 03:51:23","Hot Chocolate","Pastries",1,"131.53","131.53"
"2025-10-21 01:12:02","Almonds","Pastries",3,"5.59","16.77"
"2025-10-20 23:58:20","Blueberry Muffin","Pastries",1,"185.15","185.15"
"2025-10-20 20:27:39","Latte","Pastries",2,"108.74","217.48"
"2025-10-20 19:24:31","Chocolate Chip Muffin","Pastries",1,"103.79","103.79"
"2025-10-20 16:41:57","Flat White","Pastries",2,"113.21","226.42"
"2025-10-20 12:33:28","Americano","Pastries",3,"80.96","242.88"
"2025-10-20 12:28:50","Cappuccino","Pastries",5,"76.25","381.25"
"2025-10-20 10:47:56","Americano","Pastries",3,"80.96","242.88"
"2025-10-20 03:40:50","Red Velvet Cake","Pastries",5,"187.25","936.25"
"2025-10-20 02:19:02","Cappuccino","Pastries",2,"76.25","152.50"
"2025-10-20 01:46:13","Iced Mocha","Pastries",5,"144.00","720.00"
"2025-10-20 00:32:08","Almonds","Pastries",1,"5.59","5.59"
"2025-10-19 23:42:22","Glazed Donut","Pastries",5,"148.75","743.75"
"2025-10-19 21:38:38","Tea","Beverages",5,"106.18","530.90"
"2025-10-19 05:54:47","Red Velvet Cake","Pastries",1,"187.25","187.25"
"2025-10-19 01:41:26","Glazed Donut","Pastries",4,"148.75","595.00"
